created_at,text
2021-12-03 7:48:53,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:48:31,"@JoyAnnReid Hillary was gonna START ANOTHER WAR just like Obama wanted to, right?
HA HA HA HA HA HA oh wait that stupid crap worked???"
2021-12-03 7:48:16,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:48:12,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:47:29,RT @johncarlbaker: Seems undeniable to me that the real opportunity to reform what passes for American democracy was the early months of th…
2021-12-03 7:47:18,"RT @Liz_Wheeler: So Ghislaine Maxwell is on trial for sex trafficking for Jeffrey Epstein but media are banned from the courtroom, no live…"
2021-12-03 7:47:11,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:47:06,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:46:45,"RT @Futurical: Obama won a Nobel prize, attacked another country (Libya), called it a mistake, and life moved on. PM of Ethiopia won a Nobe…"
2021-12-03 7:46:41,RT @itsJeffTiedrich: remember during the Benghazi investigations when Obama blocked access to documents and Hillary invoked the fifth amend…
2021-12-03 7:46:40,@brettmasonau Yes continue with the boosters and watch your innate immune system evaporate. One thing I’ve learned… https://t.co/dfBHS7GBeK
2021-12-03 7:46:37,"RT @AntheaButler: Republicans and Right Wing Christians have been on the job for DECADES about this. Dems have been like ""oh well"". This wa…"
2021-12-03 7:46:31,"RT @spectatorindex: US Presidents since Angela Merkel became Chancellor of Germany:

- George W. Bush
- Barack Obama
- Donald Trump
- Joe B…"
2021-12-03 7:46:28,RT @TheAnything_Bot: Megamind knows what Obama's last name is... https://t.co/yyHkfi7HW8
2021-12-03 7:46:27,"RT @JediofGallifrey: Speaking of 2016, remember that time barack obama let mitch mcconnell stonewall his supreme court pick until the end o…"
